Unnamed: 0,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
246798,100509940,2010-04-25,2010-04-25,1630,5,Harbor,529,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,70.0,M,W,705.0,SLIPS/DOCK/MARINA/BOAT,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,740.0,,,,CAL YACHT,MARINA SLIP D17,"(33.7753, -118.2456)"
1179557,151917155,2015-08-27,2015-08-27,430,19,Mission,1917,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,54.0,F,W,510.0,NURSING/CONVALESCENT/RETIREMENT HOME,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,14000    ASTORIA                      ST,,"(34.312, -118.4383)"
1527668,172008833,2017-04-04,2017-04-03,1000,20,Olympic,2021,310,BURGLARY,0344,55.0,F,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,310.0,,,,500    LORRAINE                     BL,,"(34.0653, -118.32)"
94687,101117037,2010-08-03,2010-08-02,2120,11,Northeast,1107,624,BATTERY - SIMPLE ASSAULT,0400,22.0,M,O,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,1400    HEPNER                       AV,,"(34.1318, -118.1957)"
1376548,161711262,2016-06-02,2016-06-02,1240,17,Devonshire,1764,210,ROBBERY,0325 0945 1501 0334,,X,X,404.0,DEPARTMENT STORE,513.0,STUN GUN,IC,Invest Cont,210.0,,,,9300    TAMPA                        AV,,"(34.244, -118.5583)"
419135,111209609,2011-03-23,2011-03-22,1600,12,77th Street,1249,330,BURGLARY FROM VEHICLE,0344 1607 1822,51.0,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,DENVER,65TH                         ST,"(33.9806, -118.2838)"
517013,120113534,2012-06-08,2012-06-08,605,1,Central,127,755,BOMB SCARE,0404,,M,O,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",511.0,VERBAL THREAT,IC,Invest Cont,755.0,,,,100 N  LOS ANGELES                  ST,,"(34.0515, -118.2424)"
1292347,160912738,2016-06-21,2016-06-21,1700,9,Van Nuys,915,624,BATTERY - SIMPLE ASSAULT,0416,36.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,6800    VAN NUYS                     BL,,"(34.1939, -118.4487)"
96767,101121633,2010-10-21,2010-10-21,1200,11,Northeast,1141,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000,22.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,1800 N  ALEXANDRIA                   AV,,"(34.1036, -118.2984)"
1541119,170211374,2017-05-30,2017-05-29,1200,2,Rampart,279,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 2004 1258 0432 0444 0411 0400 0344 0334,29.0,M,B,101.0,STREET,215.0,MACHETE,IC,Invest Cont,236.0,,,,JAMES M WOOD                 BL,SUNBURY,"(34.0484, -118.2676)"
