Unnamed: 0,ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,Unnamed: 13,corr_round,fh_status
4,Andorra,1.0,,,25.0,0,0,0,0,0,0,1.30776669040672,,1.31,free
6,Antigua and Barbuda,2.5,,,16.67,0,0,1,0,0,0,1.20821391940379,,1.21,free
7,Argentina,2.0,8.0,48.8,39.76,0,1,0,0,0,0,-0.420792604806339,,-0.42,free
10,Australia,1.0,10.0,35.2,29.65,0,0,0,0,0,0,1.97929304224882,,1.98,free
11,Austria,1.0,10.0,29.1,26.64,0,0,0,0,0,0,1.90384092809486,,1.9,free
13,"Bahamas, The",1.0,,,25.0,0,0,1,0,0,0,1.36312197975176,,1.36,free
16,Barbados,1.0,,,13.73,0,0,1,0,0,0,1.3138115224847,,1.31,free
18,Belgium,1.0,8.0,33.0,36.2,0,0,0,0,0,0,1.32983978910366,,1.33,free
19,Belize,1.5,,59.6,11.11,0,0,1,0,0,0,-0.273784619774411,,-0.27,free
20,Benin,2.0,7.0,38.6,10.84,0,0,0,0,0,1,-0.60802770097789,,-0.61,free
25,Botswana,2.5,8.0,61.0,11.11,0,0,0,0,0,1,0.947725044959508,,0.95,free
26,Brazil,2.0,8.0,55.0,9.43,0,1,0,0,0,0,-0.119536146168395,,-0.12,free
28,Bulgaria,2.0,9.0,29.2,21.67,0,0,0,0,1,0,-0.0693627001462635,,-0.07,free
33,Canada,1.0,10.0,32.6,24.94,0,0,0,0,0,0,1.9425386763598,,1.94,free
34,Cape Verde,1.0,,50.4,18.06,0,0,0,0,0,1,0.62250817207334,,0.62,free
39,Chile,1.0,10.0,52.0,12.66,0,1,0,0,0,0,1.37052415615982,,1.37,free
45,Costa Rica,1.0,10.0,48.9,36.84,0,1,0,0,0,0,0.483972844799745,,0.48,free
47,Croatia,1.5,9.0,29.0,20.92,0,0,0,0,1,0,0.120586549241863,,0.12,free
49,Cyprus,1.0,10.0,,14.29,0,0,0,0,0,0,1.03531833442187,,1.04,free
50,Czech Republic,1.0,8.0,25.8,16.01,0,0,0,0,1,0,0.422967221441479,,0.42,free
51,Denmark,1.0,10.0,24.7,37.99,0,0,0,0,0,0,2.37832399823762,,2.38,free
53,Dominica,1.0,,,18.75,0,0,1,0,0,0,0.714093984669521,,0.71,free
54,Dominican Republic,2.0,8.0,48.4,17.14,0,1,0,0,0,0,-0.618924194031764,,-0.62,free
