Unnamed: 0,ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,Unnamed: 13,corr_round,fh_status
0,Afghanistan,6.0,0.0,,25.87,0,0,0,0,0,0,-1.55091002130689,,-1.55,not free
2,Algeria,5.5,2.0,35.3,6.48,1,0,0,0,0,0,-0.434653889660585,,-0.43,not free
3,American Samoa,,,,,0,0,0,0,0,0,0.442990611117933,,0.44,not free
5,Angola,5.5,-2.0,58.6,37.27,0,0,0,0,0,0,-1.29268423917956,,-1.29,not free
9,Aruba,,,,,0,0,1,0,0,0,1.25515564605686,,1.26,not free
12,Azerbaijan,5.5,-7.0,16.8,11.38,0,0,0,0,0,0,-1.02676724117019,,-1.03,not free
14,Bahrain,5.5,-7.0,,13.75,1,0,0,0,0,0,0.368444796447932,,0.37,not free
17,Belarus,6.5,-7.0,28.8,32.53,0,0,0,0,0,0,-0.76558628966688,,-0.77,not free
21,Bermuda,,,,,0,0,1,0,0,0,1.30776669040672,,1.31,not free
27,Brunei Darussalam,5.5,,,,0,0,0,1,0,0,0.44270502041393,,0.44,not free
31,Cambodia,5.5,2.0,44.2,15.76,0,0,0,1,0,0,-1.15123347866929,,-1.15,not free
32,Cameroon,6.0,-4.0,44.6,13.89,0,0,0,0,0,1,-1.00036172716248,,-1.0,not free
35,Cayman Islands,,,,,0,0,1,0,0,0,1.15844413885019,,1.16,not free
37,Chad,6.5,-2.0,39.8,5.16,0,0,0,0,0,1,-1.34688028178994,,-1.35,not free
38,Channel Islands,,,,,0,0,0,0,0,0,,,,not free
40,China,6.5,-7.0,41.5,21.33,0,0,0,1,0,0,-0.568752346006251,,-0.57,not free
43,"Congo, Dem. Rep.",6.0,5.0,44.4,7.73,0,0,0,0,0,1,-1.42807369539018,,-1.43,not free
44,"Congo, Rep.",5.5,-4.0,47.3,9.18,0,0,0,0,0,1,-1.11311783391179,,-1.11,not free
46,Cote d'Ivoire,5.5,0.0,48.4,8.87,0,0,0,0,0,1,-1.19893336491311,,-1.2,not free
48,Cuba,6.5,-7.0,,43.16,0,1,0,0,0,0,0.128067682895955,,0.13,not free
56,"Egypt, Arab Rep.",5.5,-3.0,32.1,3.68,1,0,0,0,0,0,-0.579147171136404,,-0.58,not free
58,Equatorial Guinea,7.0,-5.0,,6.0,0,0,0,0,0,1,-1.60663186696004,,-1.61,not free
59,Eritrea,7.0,-7.0,,22.0,0,0,0,0,0,1,-0.252516231830349,,-0.25,not free
62,Faeroe Islands,,,,,0,0,0,0,0,0,,,,not free
66,French Polynesia,,,,,0,0,0,0,0,0,,,,not free
67,Gabon,5.5,3.0,41.5,16.11,0,0,0,0,0,1,-0.856972967867437,,-0.86,not free
72,Gibraltar,,,,,0,0,0,0,0,0,,,,not free
74,Greenland,,,,,0,0,0,0,0,0,1.1601999622768,,1.16,not free
76,Guam,,,,,0,0,0,0,0,0,0.827849711640908,,0.83,not free
78,Guinea,6.5,-1.0,43.3,,0,0,0,0,0,1,-1.16571611754395,,-1.17,not free
83,"Hong Kong SAR, China",,,43.4,,0,0,0,1,0,0,1.87139335401531,,1.87,not free
88,"Iran, Islamic Rep.",6.0,-7.0,38.3,2.8,1,0,0,0,0,0,-0.60091725944491,,-0.6,not free
89,Iraq,5.5,0.0,38.3,25.45,1,0,0,0,0,0,-1.46269721683617,,-1.46,not free
91,Isle of Man,,,,,0,0,0,0,0,0,,,,not free
96,Jordan,5.5,-3.0,37.7,8.48,1,0,0,0,0,0,0.349111855394246,,0.35,not free
97,Kazakhstan,5.5,-6.0,30.9,12.34,0,0,0,0,0,0,-0.937653190163128,,-0.94,not free
100,"Korea, Dem. Rep.",7.0,-9.0,,20.09,0,0,0,1,0,0,-1.56317616367187,,-1.56,not free
104,Kyrgyz Republic,5.5,1.0,33.5,25.56,0,0,0,0,0,0,-1.1748554476416,,-1.17,not free
105,Lao PDR,6.5,-7.0,32.6,25.22,0,0,0,1,0,0,-1.2060545403137,,-1.21,not free
110,Libya,7.0,-7.0,,7.69,1,0,0,0,0,0,-0.90475572384913,,-0.9,not free
114,"Macao SAR, China",,,,,0,0,0,1,0,0,0.341979482727631,,0.34,not free
123,Mauritania,5.5,-2.0,39.0,19.87,0,0,0,0,0,1,-0.53783125919205,,-0.54,not free
125,Mayotte,,,,,0,0,0,0,0,1,,,,not free
134,Myanmar,7.0,-6.0,,,0,0,0,1,0,0,-1.68632470526966,,-1.69,not free
138,Netherlands Antilles,,,,,0,0,1,0,0,0,1.21093198126772,,1.21,not free
139,New Caledonia,,,,,0,0,0,0,0,0,-1.03028152828748,,-1.03,not free
144,Northern Mariana Islands,,,,,0,0,0,0,0,0,,,,not free
146,Oman,5.5,-8.0,,9.09,1,0,0,0,0,0,0.473768772106886,,0.47,not free
156,Puerto Rico,,,,,0,0,0,0,0,0,0.66998708318515,,0.67,not free
157,Qatar,5.5,-10.0,41.1,0.0,1,0,0,0,0,0,1.14895376106147,,1.15,not free
159,Russian Federation,5.5,4.0,43.7,11.47,0,0,0,0,0,0,-0.917828992213867,,-0.92,not free
160,Rwanda,5.5,-3.0,46.7,50.94,0,0,0,0,0,1,-0.164223000498563,,-0.16,not free
164,Saudi Arabia,6.5,-10.0,,0.0,1,0,0,0,0,0,-0.025977100826796,,-0.03,not free
173,Somalia,7.0,0.0,,8.2,0,0,0,0,0,1,-1.81305234285617,,-1.81,not free
180,Sudan,7.0,-4.0,,16.84,0,0,0,0,0,1,-1.32460522370645,,-1.32,not free
182,Swaziland,6.0,-9.0,50.7,22.11,0,0,0,0,0,1,-0.310528371310804,,-0.31,not free
185,Syrian Arab Republic,6.5,-7.0,,12.4,1,0,0,0,0,0,-0.925377360352249,,-0.93,not free
186,Tajikistan,5.5,-3.0,33.6,19.59,0,0,0,0,0,0,-1.00613513848042,,-1.01,not free
189,Timor-Leste,,7.0,31.9,29.23,0,0,0,1,0,0,-0.896604588598124,,-0.9,not free
193,Tunisia,6.0,-4.0,40.8,19.93,1,0,0,0,0,0,0.0054506075944962,,0.01,not free
195,Turkmenistan,7.0,-9.0,40.8,,0,0,0,0,0,0,-1.43503865919307,,-1.44,not free
196,Turks and Caicos Islands,,,,,0,0,1,0,0,0,,,,not free
200,United Arab Emirates,5.5,-8.0,,22.5,1,0,0,0,0,0,1.02444608513849,,1.02,not free
204,Uzbekistan,7.0,-9.0,36.7,16.36,0,0,0,0,0,0,-1.07177891166735,,-1.07,not free
207,Vietnam,6.0,-7.0,37.8,25.76,0,0,0,1,0,0,-0.656128385635008,,-0.66,not free
